date,asset_ticker,asset_type,open,high,low,close,volume
2024-12-31,BTC,digital_currency,92620.70000000,96148.94000000,91887.13000000,93354.22000000,10348.63256550
2024-12-30,BTC,digital_currency,93563.35000000,94910.48000000,91271.19000000,92620.71000000,15271.24432744
2024-12-29,BTC,digital_currency,95125.59000000,95170.06000000,92841.48000000,93563.35000000,3417.52751094
2024-12-28,BTC,digital_currency,94171.70000000,95534.17000000,94002.72000000,95130.82000000,2722.65913630
2024-12-27,BTC,digital_currency,95669.40000000,97340.47000000,93234.31000000,94171.89000000,13169.12897588
2024-12-26,BTC,digital_currency,99358.67000000,99887.00000000,95083.93000000,95669.49000000,11403.37268934
2024-12-25,BTC,digital_currency,98594.47000000,99484.92000000,97557.48000000,99346.28000000,5254.23705980
2024-12-24,BTC,digital_currency,94767.88000000,99444.00000000,93426.25000000,98594.47000000,13355.36314305
2024-12-23,BTC,digital_currency,95091.15000000,96430.08000000,92360.91000000,94764.56000000,13476.98947566
2024-12-22,BTC,digital_currency,97230.09000000,97387.98000000,94182.98000000,95087.75000000,4933.50127735
2024-12-21,BTC,digital_currency,97762.75000000,99596.57000000,96368.00000000,97230.08000000,6451.43271418
2024-12-20,BTC,digital_currency,97372.20000000,98132.47000000,92115.66000000,97765.00000000,21766.62386138
2024-12-19,BTC,digital_currency,100148.60000000,102796.22000000,95539.67000000,97372.21000000,23522.12863874
2024-12-18,BTC,digital_currency,106145.83000000,106528.13000000,99939.82000000,100150.73000000,22294.42835455
2024-12-17,BTC,digital_currency,106099.98000000,108388.88000000,105337.97000000,106136.99000000,11994.58863972
2024-12-16,BTC,digital_currency,104445.15000000,107857.79000000,103289.21000000,106099.81000000,22575.87902891
2024-12-15,BTC,digital_currency,101400.00000000,105100.00000000,101221.34000000,104447.76000000,7796.33358128
2024-12-14,BTC,digital_currency,101428.74000000,102650.00000000,100600.00000000,101399.99000000,4181.40180281
2024-12-13,BTC,digital_currency,100024.75000000,101959.13000000,99220.81000000,101428.75000000,13327.59954074
2024-12-12,BTC,digital_currency,101211.61000000,102595.00000000,99298.39000000,100030.47000000,14796.92456547
2024-12-11,BTC,digital_currency,96660.75000000,101984.98000000,95722.79000000,101202.11000000,21190.23753294
2024-12-10,BTC,digital_currency,97330.66000000,98338.17000000,94273.38000000,96660.76000000,20620.53877488
2024-12-09,BTC,digital_currency,101175.00000000,101290.73000000,94220.80000000,97324.81000000,20103.05073464
2024-12-08,BTC,digital_currency,99919.20000000,101435.05000000,98729.66000000,101174.99000000,4230.35225168
2024-12-07,BTC,digital_currency,99885.37000000,100583.27000000,99012.73000000,99929.32000000,4774.35087770
2024-12-06,BTC,digital_currency,97049.47000000,102104.12000000,96424.20000000,99891.35000000,17801.21293952
2024-12-05,BTC,digital_currency,98746.24000000,104000.00000000,92055.86000000,97044.23000000,36399.81824270
